Soc,R_0,R_1,C_1,R_2,C_2,OCV,Temp
1.0,0.005951394937953763,9.70078123541402e-05,-2477.586320770424,0.002890310759386283,57668.97972562569,4.2,0
0.9,0.005921361913240037,0.003507914663804956,1102.658911578891,0.004308926523184276,28818.79283096316,4.0278,0
0.8,0.005769557950781114,0.004701485551945939,3863.921742164347,0.002977078025151092,82535.05900243674,3.929,0
0.7,0.005825669952044477,0.003621197742517679,2282.820147185907,0.003625787274965241,42145.7067080334,3.8257,0
0.6,0.0058297532221001,0.003273911687205033,1142.205735314725,0.003998260306753696,30101.29843004469,3.7444,0
0.5,0.005916686655472928,0.003785918825394252,989.9485963814242,0.00410137354071374,31100.75496344912,3.6914,0
0.4,0.005894351621321661,0.004944186485078439,813.340200752209,0.004200235261785311,35901.61798462732,3.655,0
0.3,0.005820267341944452,0.004517661677309603,37940.80599513678,0.007644994691816756,333.9814659202774,3.6223,0
0.2,0.005448174861421446,0.01828672463591385,98.52911042979264,0.0049377515891845,29893.34689083571,3.5789,0
0.1,0.006402093414632933,0.01786128302841183,82.82577307349942,0.00397636546433805,27856.80953019451,3.5688,0
0.0,0.006696540204246983,0.01773722461258675,78.59927672527922,0.0034769541421629,27402.02027542912,3.5609,0
1.0,0.004023736263869703,0.002611166912461652,9268.37059222701,0.001494878635104212,204818.5984001305,4.2,10
0.9,0.004127214130461927,0.002729110948164082,5734.546524667649,0.002220806363367825,63716.81877639101,4.0322,10
0.8,0.004010922512177804,0.003603888793778487,8555.338877419723,0.001691296528663713,238810.7775084227,3.9362,10
0.7,0.003981416724947541,0.003533717083437193,9082.400521392097,0.001229753614479164,340354.4512770083,3.8336,10
0.6,0.004068637006602784,0.002959092085968895,8048.656467373067,0.001430270600589989,137141.1036051355,3.7499,10
0.5,0.004080938615881648,0.002981050102413785,6961.345192807624,0.001724878536687773,106577.8203663725,3.6964,10
0.4,0.004137682897577368,0.00354703629154407,6883.713504828735,0.001739394994529084,160555.7908177101,3.6616,10
0.3,0.004166416581637753,0.004009233674467594,5347.751331004163,0.002102086704592209,153607.7750542277,3.6304,10
0.2,0.004112796701757186,0.004882997538527056,1918.351497054249,0.002590049471256191,90106.16259976245,3.5852,10
0.1,0.004035464078369001,0.01594606904234575,101.3643410580204,0.004444228149617115,19904.83735886877,3.5224,10
0.0,0.004414548033179025,0.01685947360593854,93.25165474468074,0.004012846971131342,18815.03774263484,3.5089,10
1.0,0.002983087638570778,0.002307648811721559,12193.34719397618,0.000937226051849984,380166.1822605071,4.2,20
0.9,0.003035015175075863,0.002370832518502008,10044.63068509706,0.001027163999253543,175058.8098772959,4.0348,20
0.8,0.003036032250965316,0.002432557934499369,11083.57386285193,0.001424898796601525,208707.6690796582,3.9393,20
0.7,0.002960014800073985,0.002621873937052599,12814.11730628274,0.001037501510875681,685369.1648006075,3.8394,20
0.6,0.002991634411287294,0.002402718232237588,12348.29235119541,0.0006443788006216897,495125.6924960308,3.7523,20
0.5,0.003033301351243314,0.002318652466620885,11745.9173624018,0.0009241065890751754,251307.0422331849,3.6993,20
0.4,0.00309071086349862,0.002448268065226578,11243.94861822319,0.001312878593243076,214115.743056119,3.665,20
0.3,0.00308361237443151,0.002767466539533969,10764.34447121918,0.001469176364138225,265755.1364565733,3.6347,20
0.2,0.003091406589998442,0.002777625596829369,7796.475582762822,0.001427484074119299,183716.3101904506,3.5866,20
0.1,0.003161074765420227,0.003548926255858453,2809.672214947987,0.001639271573614181,96078.0464715457,3.5245,20
0.0,0.003273167026465186,0.01539096544372642,120.793203174373,0.004330078928354764,22103.99043846211,3.4642,20
1.0,0.002197813878540893,0.001886781747488218,14146.32462617807,0.0007128453476170751,525681.416195109,4.2,30
0.9,0.002228751898936594,0.001968777367078123,12892.88998527254,0.0005133401086626356,425355.6319494518,4.0371,30
0.8,0.002237985812768506,0.00180336257599778,13543.35012389158,0.001163412309604007,185465.3694433734,3.9417,30
0.7,0.002234497238121432,0.001978531492016766,15010.84029907686,0.001165898102294694,638939.5846864012,3.8471,30
0.6,0.002270522220110619,0.001801575436030656,14843.95014096879,0.0004605551035956902,717502.9587475455,3.7545,30
0.5,0.00229104242430305,0.001797740927839464,15180.85359041713,0.0006853254535459495,349439.0240700117,3.702,30
0.4,0.002308188072363207,0.001857934059840027,15777.37835071291,0.001067949256069699,232395.4863910133,3.6679,30
0.3,0.002341322847408772,0.001925639188724459,14278.14630068873,0.001274309640579758,233407.6353269943,3.6358,30
0.2,0.002345539474079035,0.001920157528946809,12165.49119263747,0.000980007231240291,215414.5356251926,3.5855,30
0.1,0.00244528120733883,0.0007316821686734754,340752.2959227907,0.002340197562083222,8347.18117284899,3.5244,30
0.0,0.002597051670819939,0.005247724814575361,1954.117115154442,0.001617095184670621,240908.8787752079,3.3943,30
1.0,0.001776265393655463,0.001606040238252124,15110.29861723413,0.0006300293561493779,689790.606682603,4.2,40
0.9,0.001801224832886364,0.001689787144395827,14054.76727799261,0.0003282656708075706,831017.5558137941,4.0385,40
0.8,0.001812960419528042,0.00157469485541506,15537.15503525584,0.0009529219538855865,195448.271381606,3.9436,40
0.7,0.001808779074124966,0.001542711769191407,16714.22263666015,0.001138647004710704,525053.8754278881,3.8505,40
0.6,0.0018200091000455,0.001410684603820989,16758.15764778635,0.0003870918862435348,799949.2013643739,3.7573,40
0.5,0.001833762210507894,0.001472445770362429,17434.38453115185,0.0006305745779821368,327024.3604127168,3.7052,40
0.4,0.001870430198945751,0.001627314057792817,18306.12374789632,0.0008999836697617566,269702.1015046738,3.6711,40
0.3,0.001885009425047129,0.001356817089362861,16728.08449311156,0.001131059752756103,161055.9023375225,3.6341,40
0.2,0.001893087981139052,0.001613566151166368,15963.13752447559,0.0006169429794208949,344334.2570990774,3.5845,40
0.1,0.001957582385753601,0.001739797808114729,12728.07529541546,0.0004588568302026286,676691.083912709,3.5248,40
0.0,0.002089770125286233,0.002629099980681615,7006.475594473352,0.001130002768978605,561212.2798045533,3.3953,40
